text_name,hash_name,pattern_length,text_length,time_ns,hash_matches,collisions,char_comparisons,matches
repetitive_100k,poly_nomod,32,100000,22526417,99969,0,3199008,99969
repetitive_100k,sum,64,100000,21357208,99937,0,6395968,99937
repetitive_100k,poly_mod,64,100000,21277625,99937,0,6395968,99937
repetitive_100k,djb2,64,100000,21283042,99937,0,6395968,99937
repetitive_100k,poly_nomod,64,100000,34511875,99937,0,6395968,99937
repetitive_100k,sum,128,100000,42762292,99873,0,12783744,99873
repetitive_100k,poly_mod,128,100000,43137250,99873,0,12783744,99873
repetitive_100k,djb2,128,100000,42626500,99873,0,12783744,99873
repetitive_100k,poly_nomod,128,100000,61224958,99873,0,12783744,99873
repetitive_100k,sum,256,100000,84953709,99745,0,25534720,99745
repetitive_100k,poly_mod,256,100000,84953000,99745,0,25534720,99745
repetitive_100k,djb2,256,100000,84851500,99745,0,25534720,99745
repetitive_100k,poly_nomod,256,100000,108603125,99745,0,25534720,99745
repetitive_100k,sum,512,100000,169222291,99489,0,50938368,99489
repetitive_100k,poly_mod,512,100000,169263042,99489,0,50938368,99489
repetitive_100k,djb2,512,100000,169336541,99489,0,50938368,99489
repetitive_100k,poly_nomod,512,100000,206126500,99489,0,50938368,99489
